"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Lindalva Pereira da Silva","UFVRSPA038519-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","27/10/2017","1.00","1","0","N/I","2°8'24,828""S","53°15'42,516""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lindoia","UTEPEAM029577-9","AM","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","08/10/2010","1,500.00","1500","0","Não","2°54'46""S","59°2'40""W","","","100% para AMAZONAS ENERGIA S.A (REG)","","Itacoatiara - AM"
"Lindóia - COE","UTEPEAM037696-5","AM","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","09/07/2020","5,427.00","5427","0","Não","2° 54' 47,468"" S","59° 2' 33,783"" W","02-08-2017","02-08-2052","100% para OLIVEIRA ENERGIA GERAÇÃO E SERVIÇOS LTDA (PIE)","","Itacoatiara - AM"
"Lindomar Barbosa da Silva","UFVRSPA046234-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/10/2019","1.00","1","0","N/I","3° 55' 53,918"" S","49° 49' 29,348"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lindomar Lobato","UFVRSPA046647-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","21/11/2019","1.00","1","0","N/I","3° 45' 5,000"" S","49° 55' 44,789"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lindomar Pontes Brilhante","UFVRSPA046009-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/09/2019","1.00","1","0","N/I","3° 53' 44,696"" S","49° 44' 46,216"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Linha Aparecida","PCHPHRS030636-3","RS","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","25,406.91","0","13780","Não","-1","-1","31-08-2011","31-08-2041","100% para COOGERVA LINHA APARECIDA ENERGIA S/A (PIE)","","Cerro Grande - RS, Liberato Salzano - RS, Novo Tiradentes - RS"
"Linha Emília","PCHPHRS027876-9","RS","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","31/01/2009","19,500.00","19500","11880","Não","-1","-1","29-11-2000","29-11-2030","100% para LINHA EMÍLIA ENERGÉTICA S.A. (PIE)","","Dois Lajeados - RS"
"Linha Granja Velha","CGHPHRS028572-2","RS","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","21/01/2001","1,000.00","1000","900","Não","-1","-1","","","100% para CRELUZ - COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO (REG)","","Erval Seco - RS, Taquaruçu do Sul - RS"
"Linha Jacinto","PCHPHRS030637-1","RS","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","17,801.04","0","9870","Não","-1","-1","31-08-2011","31-08-2041","100% para COOGERVA LINHA JACINTO ENERGIA S/A (PIE)","","Liberato Salzano - RS, Rodeio Bonito - RS"
"Linha Rica","PCHPHSC032879-0","SC","PCH","Construção","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","9,965.00","0","0","Não","27°7'12""S","51°24'24""W","10-04-2017","10-04-2052","100% para IBICARÉ HIDRELÉTRICA LTDA (PIE)","72 - Uruguai, Inhanduva, Peixe e outros","Ibicaré - SC"
"Lins","UTEAISP030890-0","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","12/03/2007","16,000.00","16000","0","Não","21° 35' 59,073""S","49° 32' 24,000"" W","14-06-2012","14-06-2042","100% para Lins Agroindustrial S.A. (PIE)","","Lins - SP"
"Lito Mendes","CGHPHRJ028926-4","RJ","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","27/12/1996","49.80","49.8","0","Não","22°19'31,64""S","42°44'35,99""W","","","100% para Agropecuária Itatiba dos Frades Ltda (REG)","58 - Paraiba do Sul","Teresópolis - RJ"
"Lizete Brasil Matos","UFVRSPA039296-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/01/2018","1.00","1","0","N/I","1°46'10,452""S","52°52'13,728""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Loga","UTEPESP031155-3","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/09/2011","365.00","365","0","Não","23°31'20,2""S","46°38'13,03""W","","","100% para Logística de São Paulo S.A. - LOGA (REG)","","São Paulo - SP"
"Londra","UTEAISP028050-0","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/04/2006","3,880.00","3880","0","Não","23° 31' 41,966"" S","48° 56' 17,488"" W","","","100% para Destilaria Londra Ltda (REG)","","Itaí - SP"
"LONDRINA - 1","UTEPEPR033316-6","PR","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","31/10/2007","200.00","200","0","Não","23°18'48""S","51°9'39""W","","","100% para Claro S.A (REG)","","Londrina - PR"
"LONDRINA NORTE SHOPPING","UTEPEPR032670-4","PR","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","09/03/2012","2,500.00","2500","0","Não","23°17'10""S","51°9'4""W","","","100% para Londrina Norte Administradora de Shopping Centers Ltda (REG)","","Londrina - PR"
"Lontras","CGHPHPR028902-7","PR","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","","612.00","612","0","Não","26° 21' 50,5'' S","52° 08' 59,8'' W","","","100% para Energética Goldoni Ltda (REG)","65 - Parana, Iguacu","Clevelândia - PR, Palmas - PR"
"Lontras","CGHPHSC029303-2","SC","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","18/07/2013","810.00","810","0","Não","-1","-1","","","100% para Santafé Administradora de Bens LTDA. (REG)","","Xanxerê - SC, Xaxim - SC"
"LOOP","UTEPESP033210-0","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/07/2010","1,092.00","1092","0","Não","22°33'19""S","47°22'9""W","","","100% para Stemac Energia S.A. (REG)","","Limeira - SP"
"Loreal Caxias","UTEPERJ033602-5","RJ","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/01/2011","864.00","864","0","Não","22°47'6,911""S","43°18'35,597""W","","","100% para L'Oreal Brasil Comércial de Cosméticos Ltda (REG)","","Duque de Caxias - RJ"
"Loréal Innova","UFVRSRJ040762-3","RJ","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/05/2018","330.00","330","0","Não","22° 51' 36,000"" S","43° 12' 59,000"" W","","","100% para L'OREAL BRASIL PESQUISA E INOVACAO LTDA. (REG)","","Rio de Janeiro - RJ"
"Lorrana de Jesus Sampaio","UFVRSPA046188-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/10/2019","1.00","1","0","N/I","4° 2' 1,457"" S","49° 42' 26,644"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Louis Dreyfus Commodities Agroindustrial","UTEAISP029903-0","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","26/09/2008","4,000.00","4000","0","Não","23° 39' 0,288"" S","46° 38' 53,196"" W","","","100% para Louis Dreyfus Commodities Agroindustrial S.A. (REG)","","São Paulo - SP"
"Lourenço","UTEPEAP001339-0","AP","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","","720.00","720","0","Não","2°29'47,612""N","50°56'41,183""W","17-05-1994","17-05-2024","100% para COMPANHIA DE ELETRICIDADE DO AMAPÁ (SP)","","Calçoene - AP"
"Lourival Araujo do Nascimento","UFVRSPA043108-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/11/2018","1.00","1","0","N/I","2° 4' 13,512"" S","53° 20' 5,784"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Prainha - PA"
"Lourival Barbosa Lima","UFVRSPA045104-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/07/2019","1.00","1","0","N/I","3° 54' 10,750"" S","49° 43' 51,060"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Luana Brenda Silva Farias de Oliveira","UFVRSPA045420-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/08/2019","1.00","1","0","N/I","3° 54' 9,814"" S","49° 45' 34,099"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Luana Ferreira Moraes","UFVRSPA038804-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/11/2017","1.00","1","0","N/I","1°57'40,716""S","53°8'29,796""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luana Gomes Souto","UFVRSPA039095-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/12/2017","1.00","1","0","N/I","1°45'10,368""S","52°25'15,6""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lubrasil","UTEPESP031506-0","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","09/04/2013","2,800.00","2800","0","Não","22°43'25,399""S","47°38'48,646""W","","","100% para Lubrasil Lubrificantes Ltda (REG)","","Piracicaba - SP"
"Lubrizol","UTEPERJ029972-3","RJ","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","24/11/2008","960.00","960","0","Não","22°45'52,402""S","43°23'58,65""W","","","100% para Lubrizol do Brasil Aditivos Ltda. (REG)","","Belford Roxo - RJ"
"Lucas Bruno Campos Caldas","UFVRSPA046687-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","06/10/2019","1.00","1","0","N/I","3° 47' 5,899"" S","49° 46' 12,018"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucas Carvalho Morais","UFVRSPA045637-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/09/2019","1.00","1","0","N/I","3° 55' 37,776"" S","49° 52' 37,837"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucas Freitas Melo","UFVRSPA039169-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/12/2017","1.00","1","0","N/I","1°34'58,692""S","52°23'55,464""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucas Furtado de Carvalho","UFVRSPA038548-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/10/2017","1.00","1","0","N/I","2°4'39,072""S","53°17'55,968""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucas Rosendo de as","UFVRSPA045391-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/08/2019","1.00","1","0","N/I","3° 43' 38,021"" S","49° 50' 20,890"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucélia","UTEAISP027338-4","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/07/2002","12,000.00","15700","1800","Não","21° 34' 7,896"" S","50° 58' 7,896"" W","24-12-2002","24-12-2032","100% para Bioenergia do Brasil S.A (PIE)","","Lucélia - SP"
"Lucelia Furtado Almeida","UFVRSPA040446-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","21/03/2018","1.00","1","0","N/I","2°20'10,471""S","52°55'7,939""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucenildo Caetano Teixeira","UFVRSPA040349-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/03/2018","1.00","1","0","N/I","2°4'30,648""S","52°15'31,896""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucia Cherobim","PCHPHPR028419-0","PR","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","28,000.00","0","9330","Não","25°33'7,3""S","49°51'12,84""W","30-01-2019","30-01-2054","100% para SPE CHEROBIM ENERGIA S.A (PIE)","65 - Parana, Iguacu","Lapa - PR"
"Luciana da Silva Soeiro","UFVRSPA040372-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/03/2018","1.00","1","0","N/I","2°0'14,76""S","52°16'21""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciana Damasceno de Jesus","UFVRSPA043055-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/10/2018","1.00","1","0","N/I","2° 3' 41,508"" S","53° 15' 53,244"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Prainha - PA"
"Luciane R. Perna","UFVRSPA040679-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/01/2018","1.00","1","0","N/I","1° 46' 36,768"" S","52° 59' 49,128"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciane Rodrigues Perna","UFVRSPA038961-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","28/11/2017","1.00","1","0","N/I","1° 46' 36,876"" S","52° 59' 46,896"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciano Martins do Nascimento","UFVRSPA039786-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","12/02/2018","1.00","1","0","N/I","2° 14' 3,840"" S","52° 50' 23,280"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciano Oliveira Viana","UFVRSPA038921-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/11/2017","1.00","1","0","N/I","1°46'37,956""S","52°59'50,712""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciclei Moreira Paiva","UFVRSPA040181-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/01/2018","1.00","1","0","N/I","1°52'35,616""S","52°38'40,344""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucicleia Ramos Nazare","UFVRSPA038636-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/11/2017","1.00","1","0","N/I","2°1'13,764""S","53°8'54,708""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciene Abreu Bezerra","UFVRSPA040506-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/03/2018","1.00","1","0","N/I","2° 31' 32,196"" S","52° 57' 18,216"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciene Ferreira Monteiro","UFVRSPA040417-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/03/2018","1.00","1","0","N/I","2°1'11,46""S","52°15'44,64""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciene Mendes Felix","UFVRSPA042954-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/11/2018","1.00","1","0","N/I","2° 24' 36,648"" S","52° 57' 1,440"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciene Oliveira Viana Andrade","UFVRSPA038874-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/11/2017","1.00","1","0","N/I","1°47'33,144""S","52°57'20,772""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciene Pereira da Silva","UFVRSPA038549-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/10/2017","1.00","1","0","N/I","2°4'38,64""S","53°17'57,012""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucieni Furtado Almeida","UFVRSPA040505-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/03/2018","1.00","1","0","N/I","2° 20' 10,428"" S","52° 55' 9,444"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Luciete de Souza Oliveira","UFVRSPA045278-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","12/08/2019","1.00","1","0","N/I","3° 47' 37,273"" S","49° 48' 16,718"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucigelma Cardoso da Silva","UFVRSPA038537-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","28/10/2017","1.00","1","0","N/I","2°9'38,952""S","53°15'8,1""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucilde Correa Mendes","UFVRSPA045244-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/08/2019","1.00","1","0","N/I","3° 54' 25,650"" S","49° 45' 56,790"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucilene Aragao da Silva","UFVRSPA040041-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/02/2018","1.00","1","0","N/I","1°54'56,808""S","52°29'58,92""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucilene Barreiros Dos Santos","UFVRSPA045866-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/09/2019","1.00","1","0","N/I","3° 46' 44,047"" S","49° 51' 43,038"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucilene Correia Rodrigues","UFVRSPA046668-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/12/2019","1.00","1","0","N/I","3° 52' 54,322"" S","49° 46' 35,648"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Lucilene Pena de Araujo","UFVRSPA039144-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/12/2017","1.00","1","0","N/I","1°43'37,56""S","52°32'23,964""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucilene Ribeiro Dos Santos","UFVRSPA042956-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/11/2018","1.00","1","0","N/I","2° 27' 51,480"" S","52° 6' 38,952"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucilene Vieira Gomes","UFVRSPA039836-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/01/2018","1.00","1","0","N/I","1° 50' 22,776"" S","52° 40' 11,892"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucileno Silva de Lima","UFVRSPA040301-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/03/2018","1.00","1","0","N/I","2°13'20,604""S","52°29'9,708""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Lucimar Furtado Rodrigues","UFVRSPA045383-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/08/2019","1.00","1","0","N/I","3° 54' 24,660"" S","49° 45' 5,346"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
